,Title,Response,Error,OMDB_Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,DVD,BoxOffice,Production,Website
495,The Defeated,True,N/A,N/A,2020–,TV-MA,30 Oct 2020,45 min,"Drama, Thriller",N/A,N/A,"Taylor Kitsch, Michael C. Hall, Logan Marshall-Green",Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.,"English, German, Russian","France, Germany, Canada",N/A,https://m.media-amazon.com/images/M/MV5BM2M1YzFiYzAtNGUwYS00MmE1LTg2ZTEtM2FkYjg1NTgxMjgxXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"5,488",tt8879894,series,1,N/A,N/A,N/A,N/A
496,The Witcher: Nightmare of t…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
497,Clickbait,True,N/A,N/A,2021,TV-MA,25 Aug 2021,N/A,"Crime, Drama, Mystery",N/A,"Tony Ayres, Christian White","Zoe Kazan, Betty Gabriel, Phoenix Raei","When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",English,"Australia, United States",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTU2OGI4YWItMTYxZi00MzU3LThiYjItZTcyNDMyZjI1MDNmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"49,860",tt10888878,series,1,N/A,N/A,N/A,N/A
498,"Bob Ross: Happy Accidents, Betrayal & Greed",True,N/A,N/A,2021,TV-14,25 Aug 2021,92 min,Documentary,Joshua Rofé,N/A,"Bob Ross, Steve Ross, Vicky Ross",Bob Ross brought joy to millions as the world's most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNzhhY2UwNmYtYTE0Ny00MzBhLTg0ZjktNTE5MTExYTlkYjQ0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.9,"5,705",tt14539744,movie,N/A,25 Aug 2021,N/A,N/A,N/A
499,Heâs All That,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
500,SAS: Red Notice,True,N/A,N/A,2021,R,16 Mar 2021,124 min,"Action, Thriller",Magnus Martens,"Laurence Malkin, Andy McNab","Sam Heughan, Ruby Rose, Andy Serkis",A small army of well trained criminals led by Grace Lewis have hijacked a train deep beneath the English Channel.,"English, French",United Kingdom,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYzVjMWU4OGUtNGEyZS00MjJiLWIzNTMtNDk1NDdmMDUwYTAyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}]",N/A,5.2,"17,547",tt4479380,movie,N/A,16 Mar 2021,"$146,329",N/A,N/A
501,Green Lantern,True,N/A,N/A,2011,PG-13,17 Jun 2011,114 min,"Action, Adventure, Sci-Fi",Martin Campbell,"Greg Berlanti, Michael Green, Marc Guggenheim","Ryan Reynolds, Blake Lively, Peter Sarsgaard","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",English,United States,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BZjQ1YTIxNzEtMzcxNC00NTUzLThkZjktMmJlYTcyMjBhMGUyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.5,"281,418",tt1133985,movie,N/A,15 Nov 2013,"$116,601,172",De Line Pictures,N/A
502,"Welcome Home, Roscoe Jenkins",True,N/A,N/A,2008,PG-13,08 Feb 2008,114 min,"Comedy, Romance",Malcolm D. Lee,Malcolm D. Lee,"Martin Lawrence, Louis C.K., James Earl Jones","Dr. RJ Stevens is a talk show host who visits his family in the deep south. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde and his childhood love interest Lucinda Allen.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjIwODgyMDk5OF5BMl5BanBnXkFtZTYwMzQ5Nzc4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.5,"14,559",tt0494652,movie,N/A,17 Jun 2008,"$42,436,517",N/A,N/A
503,Turning Point: 9/11 and the War on Terror,True,N/A,N/A,2021,TV-14,01 Sep 2021,N/A,"Documentary, History, War",N/A,N/A,James LaPorta,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's forceful response, both at home and abroad.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODcxNjIyMDUtYjJiMC00YmZmLThiZGUtNDdmNzc4N2I4MGMzXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"8,819",tt15260794,series,1,N/A,N/A,N/A,N/A
504,Afterlife of the Party,True,N/A,N/A,2021,TV-PG,02 Sep 2021,109 min,"Comedy, Drama, Fantasy",Stephen Herek,Carrie Freedle,"Victoria Justice, Midori Francis, Robyn Scott",A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BN2FlMGRlZTctY2Q5YS00ZWIzLThjYzQtNTZhYmEwYjU2MmI0XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,5.8,"8,151",tt11742798,movie,N/A,02 Sep 2021,N/A,N/A,N/A
505,Sharkdog,True,N/A,N/A,2021–,TV-Y,03 Sep 2021,7 min,"Animation, Short, Adventure",N/A,Jacinth Tan,"Liam Mitchell, Kari Wahlgren, Dee Bradley Baker","10 year old Max and his best friend Sharkdog - half shark, half dog, all appetite. Blissfully unaware of his own strength, stealth and general sharkiness, Sharkdog often leaves a trail of chaos in his wake.",English,"United States, Singapore",N/A,https://m.media-amazon.com/images/M/MV5BMDY4Yjg5ZWQtYTA1Yy00MWE0LTk3OGMtMDllZmY5ZmI5Mzg5XkEyXkFqcGdeQXVyMTE5MTg5NDIw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,136,tt12211696,series,1,N/A,N/A,N/A,N/A
506,Worth,True,N/A,N/A,2020,PG-13,03 Sep 2021,118 min,"Biography, Drama, History",Sara Colangelo,Max Borenstein,"Michael Keaton, Amy Ryan, Stanley Tucci","An attorney in Washington D.C. battles against cynicism, bureaucracy and politics to help the victims of 9/11.",English,"United Kingdom, Canada, United States",N/A,https://m.media-amazon.com/images/M/MV5BZDI4YzBhMzQtM2MzYy00ZGJjLTg2NmItNzJiYTA3OWJjMzUxXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.8,"13,145",tt8009744,movie,N/A,03 Sep 2021,N/A,N/A,N/A
507,On the Verge,True,N/A,N/A,2021,TV-14,07 Sep 2021,N/A,Comedy,N/A,Julie Delpy,"Julie Delpy, Elisabeth Shue, Sarah Jones","Four women a chef, a single mom, an heiress and a job seeker dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",English,"France, United States",N/A,https://m.media-amazon.com/images/M/MV5BMWYyZTAzOGUtOWM3NS00MTVhLWE1YTUtNDkyMTZjZTNmNzc4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"2,907",tt5540990,series,1,N/A,N/A,N/A,N/A
508,Kate,True,N/A,N/A,2021,R,10 Sep 2021,106 min,"Action, Adventure, Crime",Cedric Nicolas-Troyan,Umair Aleem,"Mary Elizabeth Winstead, Woody Harrelson, Miku Patricia Martineau",A female assassin has 24 hours to get vengeance on her poisoner before she dies.,"English, Japanese",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BN2IyYzI4YmQtNzBmMi00Mjg3LWI4NTMtNmZjNjk3YjIwZmJhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.2,"57,310",tt7737528,movie,N/A,10 Sep 2021,N/A,N/A,N/A
509,Prey,True,N/A,N/A,2007,TV-MA,12 Apr 2007,92 min,"Adventure, Drama, Horror",Darrell Roodt,"Darrell Roodt, Beau Bauman, Jeff Wadlow","Bridget Moynahan, Peter Weller, Carly Schroeder",An American family on holiday in Africa becomes lost in a game reserve and stalked by lions.,English,South Africa,N/A,https://m.media-amazon.com/images/M/MV5BZDQ1ZDFjNDgtMmY3MC00ZDY2LTk4ZTQtNTdkZDcyNGVhOTU1XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,4.7,"8,100",tt0468536,movie,N/A,30 Jan 2007,N/A,N/A,N/A
510,An Unfinished Life,True,N/A,N/A,2005,PG-13,16 Sep 2005,108 min,"Drama, Family, Romance",Lasse Hallström,"Mark Spragg, Virginia Korus Spragg","Jennifer Lopez, Robert Redford, Morgan Freeman","Desperate to provide care for her daughter, down-on-her-luck Jean moves in with her father in-law from whom she is estranged. Through time, they learn to forgive each other and heal old wounds.",English,"Germany, United States",3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDNkMzk1OGEtMDNmNS00YThjLTliZDAtNmFiNDVhNzAzZTJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.0,"30,962",tt0350261,movie,N/A,11 Apr 2006,"$8,586,392",N/A,N/A
511,Safe House,True,N/A,N/A,2012,R,10 Feb 2012,115 min,"Action, Thriller",Daniel Espinosa,David Guggenheim,"Denzel Washington, Ryan Reynolds, Robert Patrick","A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.","English, Afrikaans","South Africa, United States, Japan",1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BMjI5ODkyMjA2Nl5BMl5BanBnXkFtZTcwNTcyNTgzNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.7,"220,154",tt1599348,movie,N/A,05 Jun 2012,"$126,373,434",N/A,N/A
512,Nightbooks,True,N/A,N/A,2021,TV-PG,15 Sep 2021,103 min,"Family, Fantasy, Horror",David Yarovesky,"Mikki Daughtry, Tobias Iaconis, J.A. White","Winslow Fegley, Lidya Jewett, Krysten Ritter","Alex, a boy obsessed with scary stories, is imprisoned by an evil young witch in her contemporary New York City apartment.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2E4MmNmMzgtOTI2YS00MzhjLTlmOWItZTkxNWRkYTY2NDcwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,5.7,"8,230",tt10521144,movie,N/A,15 Sep 2021,N/A,N/A,N/A
513,Sex Education,True,N/A,N/A,2019–,TV-MA,11 Jan 2019,45 min,"Comedy, Drama",N/A,Laurie Nunn,"Asa Butterfield, Gillian Anderson, Emma Mackey",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,English,United Kingdom,Won 1 BAFTA Award12 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BOTE0MjQ1NDU3OV5BMl5BanBnXkFtZTgwNTI4MTgwNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"257,964",tt7767422,series,3,N/A,N/A,N/A,N/A
514,Squid Game,True,N/A,N/A,2021–,TV-MA,17 Sep 2021,N/A,"Action, Drama, Mystery",N/A,N/A,"Lee Jung-jae, Park Hae-soo, Wi Ha-Joon","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","Korean, English, Urdu",South Korea,Nominated for 2 BAFTA 28 wins & 35 nominations total,https://m.media-amazon.com/images/M/MV5BYWE3MDVkN2EtNjQ5MS00ZDQ4LTliNzYtMjc2YWMzMDEwMTA3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"413,599",tt10919420,series,1,N/A,N/A,N/A,N/A
515,The Father Who Moves Mountains,True,N/A,N/A,2021,TV-MA,23 Jul 2021,108 min,"Drama, Thriller",Daniel Sandu,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State","Mircea, a retired intelligence officer, finds out that his son from has gone missing in the mountains. After days of searches, Mircea put his own rescue team together, leading to altercation with the local squad.",Romanian,"Romania, Sweden",2 nominations,https://m.media-amazon.com/images/M/MV5BYTE5ODc2NjgtNjBhNy00OGEyLTg1ZjctOTZlYWI1NzQwNGQ4XkEyXkFqcGdeQXVyODUxNTMyNjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,5.5,"3,391",tt8886670,movie,N/A,17 Sep 2021,N/A,N/A,N/A
516,Intrusion,True,N/A,N/A,2021,TV-14,22 Sep 2021,92 min,"Drama, Thriller",Adam Salky,Chris Sparling,"Freida Pinto, Logan Marshall-Green, Robert John Burke","A woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BZTU2ZmFhZjktODFkMS00YTMyLTg2OTktMzY3Y2NkZGEwNDU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.3,"15,374",tt5563324,movie,N/A,22 Sep 2021,N/A,N/A,N/A
517,Grown Ups,True,N/A,N/A,2010,PG-13,25 Jun 2010,102 min,Comedy,Dennis Dugan,"Adam Sandler, Fred Wolf","Adam Sandler, Salma Hayek, Kevin James","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.","English, Spanish",United States,3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,5.9,"246,717",tt1375670,movie,N/A,09 Nov 2010,"$162,001,186",N/A,N/A
518,Monsters Inside: The 24 Fac…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
519,My Little Pony: A New Gener…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
520,Midnight Mass,True,N/A,N/A,2021,TV-MA,24 Sep 2021,40 min,"Drama, Fantasy, Horror",N/A,Mike Flanagan,"Kate Siegel, Zach Gilford, Kristin Lehman","An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.",English,United States,2 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BNWVmZWQ5ZmItZjc2OC00MTFhLWI4OTEtNWY3MDg0OWY3YTJjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"101,412",tt10574558,series,1,N/A,N/A,N/A,N/A
521,The Starling,True,N/A,N/A,2021,PG-13,24 Sep 2021,102 min,"Comedy, Drama",Theodore Melfi,Matt Harris,"Melissa McCarthy, Chris O'Dowd, Kevin Kline","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...","English, Spanish",United States,1 win,https://m.media-amazon.com/images/M/MV5BODZhZTk2MWEtYzg1Zi00NzY2LTlmOTAtNjA2MmMzN2I4OTZmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,6.3,"12,067",tt5164438,movie,N/A,24 Sep 2021,N/A,N/A,N/A
522,Britney vs Spears,True,N/A,N/A,2021,TV-MA,28 Sep 2021,93 min,"Documentary, Biography, Music",Erin Lee Carr,Sloane Klevin,"Britney Spears, Erin Lee Carr, Jenny Eliscu",Journalist Jenny Eliscu and filmmaker Erin Lee Carr investigate Britney Spears' fight for freedom by way of exclusive interviews and confidential evidence.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDFjYzAzZDMtMmQ1OS00ZDU5LTgyYjktMjc5NzUzZGE4Y2YxXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.4,"6,726",tt15469820,movie,N/A,28 Sep 2021,N/A,N/A,N/A
523,No One Gets Out Alive,True,N/A,N/A,2021,R,29 Sep 2021,85 min,"Drama, Horror, Mystery",Santiago Menghini,"Jon Croker, Fernanda Coppel, Adam Nevill","Phil Robertson, Joana Borja, Victoria Alcock","An immigrant in search of the American dream who, after being forced to take a room in a boarding house, finds herself in a nightmare she can't escape.","English, Spanish, Romanian, Portuguese",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZGQzODVkZDAtOWFhNS00MWJhLThjNDctNjFlZDExYjg5NWM1XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.3,"13,550",tt13056008,movie,N/A,29 Sep 2021,N/A,N/A,N/A
524,The Guilty,True,N/A,N/A,2021,R,01 Oct 2021,90 min,"Crime, Drama, Thriller",Antoine Fuqua,"Nic Pizzolatto, Gustav Möller, Emil Nygaard Albertsen","Jake Gyllenhaal, Riley Keough, Peter Sarsgaard",A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWI3NmEyYzAtNWY4OC00YWY4LTk2MjgtM2Y1NDdlZWE4ODgzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.3,"112,592",tt9421570,movie,N/A,01 Oct 2021,N/A,N/A,N/A
525,Maid,True,N/A,N/A,2021,TV-MA,01 Oct 2021,N/A,Drama,N/A,Molly Smith Metzler,"Margaret Qualley, Nick Robinson, Rylea Nevaeh Whittet","After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.",English,United States,2 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BZjA5NTZiZDYtMzA2NS00MDE2LTk0Y2EtMThhOTk0OTEwNDdhXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"74,742",tt11337908,series,1,N/A,N/A,N/A,N/A
526,Seinfeld,True,N/A,N/A,1989–1998,TV-PG,05 Jul 1989,22 min,Comedy,N/A,"Larry David, Jerry Seinfeld","Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,English,United States,Won 10 Primetime Emmys. 74 wins & 186 nominations total,https://m.media-amazon.com/images/M/MV5BZjZjMzQ2ZmUtZWEyZC00NWJiLWFjM2UtMzhmYzZmZDcxMzllXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,"300,361",tt0098904,series,9,N/A,N/A,N/A,N/A
527,The DUFF,True,N/A,N/A,2015,PG-13,20 Feb 2015,101 min,"Comedy, Romance",Ari Sandel,"Josh A. Cagan, Kody Keplinger","Mae Whitman, Bella Thorne, Robbie Amell","A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.","English, Spanish",United States,1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTc3OTg3MDUwN15BMl5BanBnXkFtZTgwMTAwMTkxNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.4,"92,639",tt1666801,movie,N/A,09 Jun 2015,"$34,030,343",N/A,N/A
528,On My Block,True,N/A,N/A,2018–2021,TV-14,16 Mar 2018,30 min,"Comedy, Drama",N/A,"Eddie Gonzalez, Jeremy Haft, Lauren Iungerich","Sierra Capri, Jason Genao, Brett Gray","A coming-of-age story about four bright, street-savvy friends navigating their way through high school in the gritty South Central Los Angeles, trying to get their friend out of a gang, and having friendship turn into something more.",English,United States,1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BY2Q0MDJiNGYtZTU0MS00YzBkLTkzNGEtNTUzNzQ4MDA1YjMwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"15,530",tt7879820,series,4,N/A,N/A,N/A,N/A
529,Titanic,True,N/A,N/A,1997,PG-13,19 Dec 1997,194 min,"Drama, Romance",James Cameron,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","English, Swedish, Italian, French","United States, Mexico",Won 11 Oscars. 125 wins & 83 nominations total,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.9,"1,131,404",tt0120338,movie,N/A,08 Jan 2002,"$659,363,944",N/A,N/A
530,Dave Chappelle: The Closer,True,N/A,N/A,2021,TV-MA,05 Oct 2021,72 min,Comedy,Stan Lathan,Dave Chappelle,"Dave Chappelle, Daphne Dorman","As he closes out his slate of comedy specials, Dave takes the stage to try and set the record straight; and get a few things off his chest.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BZGQyMTc4NGUtNzA0Ny00MTJhLTg0NzQtYjkzN2U2ZGQyNTZhXkEyXkFqcGdeQXVyNjU1OTg4OTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,8.0,"24,979",tt15523010,movie,N/A,05 Oct 2021,N/A,N/A,N/A
531,Thereâs Someone Inside Your…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
532,The Five Juanas,True,N/A,N/A,2021–,TV-MA,06 Oct 2021,N/A,Drama,N/A,N/A,"Renata Notni, Oka Giner, Zuria Vega",Five women with the same birthmark set out to unravel the truth about their pasts and discover a tragic web of lies spun by a powerful politician.,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BYjUzODNkY2MtNjgzMS00ZmEzLWI2YjItOGE4MzEwZGI3YTJlXkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"1,692",tt15377930,series,1,N/A,N/A,N/A,N/A
533,You,True,N/A,N/A,2018–,TV-MA,09 Sep 2018,45 min,"Crime, Drama, Romance",N/A,"Greg Berlanti, Sera Gamble","Penn Badgley, Victoria Pedretti, Ambyr Childers","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",English,United States,2 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMzkzOGFiY2EtZDcyZi00OWNhLThhNmYtYjQ3ODljMTM5ZDBkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"224,547",tt7335184,series,3,N/A,N/A,N/A,N/A
